iter	Passed	Remaining
1327	2072972	1049764
1328	2075854	1048869
1329	2078268	1047735
1330	2080638	1046576
1331	2083003	1045414
1332	2085394	1044262
1333	2087581	1043007
1334	2089426	1041580
1335	2091305	1040169
1336	2093154	1038743
1337	2095038	1037333
1338	2097248	1036084
1339	2099669	1034937
1340	2102132	1033809
1341	2104450	1032608
1342	2106855	1031448
1343	2109412	1030360
1279	3795040	2134710
1280	3795417	2130292
1281	3795909	2125946
1282	3796488	2121653
1283	3796966	2117311
1284	3797778	2113160
1285	3798894	2109184
1286	3799547	2104955
1287	3800813	2101070
1288	3801519	2096881
1289	3802111	2092635
1290	3803175	2088653
1291	3804160	2084633
1292	3804643	2080342
1293	3805047	2076015
1294	3805550	2071747
1295	3806305	2067622
1296	3807054	2063500
1297	3807974	2059474
1298	3808900	2055457
1299	3810158	2051623
1300	3810923	2047529
1301	3812372	2043806
1302	3813607	2039972
1303	3814116	2035755
1304	3814448	2031449
1305	3815109	2027324
1306	3816047	2023352
1307	3817081	2019434
1308	3818058	2015491
1309	3819550	2011824
1310	3820369	2007806
1311	3821131	2003764
1312	3822473	2000029
1313	3822905	1995824
1314	3823235	1991571
1315	3823696	1987392
1316	3824537	1983416
1317	3824742	1979115
1318	3825201	1974952
1319	3825888	1970912
1320	3826353	1966763
1321	3827193	1962811
1322	3828068	1958882
1323	3828942	1954958
1324	3829864	1951063
1325	3830637	1947096
1326	3831025	1942938
1327	3831423	1938792
1328	3832522	1935005
1329	3833547	1931185
1330	3834155	1927159
1331	3835206	1923361
1332	3835910	1919393
1333	3837277	1915762
1334	3839506	1912563
1335	3840869	1908934
1336	3842717	1905551
1337	3844248	1902012
1338	3846002	1898586
1339	3848971	1895762
1340	3851225	1892585
1341	3852829	1889092
1342	3853986	1885382
1343	3855762	1881979
1344	3857256	1878440
1345	3859124	1875087
1346	3861413	1871940
1347	3862808	1868361
1348	3863983	1864680
1349	3865266	1861054
1350	3866655	1857482
1351	3868575	1854169
1352	3870314	1850771
1353	3872462	1847570
1354	3875331	1844714
1355	3876518	1841060
