,xgboost,lightgbm,catboost,correlation,lasso,combined
3SsnPorch,0.0003852204739814624,0.0,0.014795954421413297,0.05491446135445931,4.421154772175897e-05,0.008447087210918877
Street_Pave,1.9183641416020692e-05,0.0,0.0,0.05736397339629754,0.0,0.00817899021712203
Condition2_Feedr,4.9602251965552566e-05,0.0,0.0010289027230414663,0.056849939199511146,0.0,0.008148390638052115
Condition2_PosN,0.0,0.0,2.0875153352597452e-05,0.054876871764923695,0.0,0.0078062510540672925
Condition2_RRNn,0.0,0.0,0.0,0.05460226799378599,0.0,0.007766944958484179
Condition1_RRAe,0.0010440378915518521,0.0,0.03522992273396151,0.04401303676422644,0.0,0.007719054305885165
RoofMatl_WdShake,0.00016115608596010134,0.0,0.0,0.05297440469114708,0.0,0.0076967168158529106
Functional_Maj1,0.0017326440662145614,0.0,0.008534655583813944,0.04050927389164103,0.0,0.00759688122612582
SaleType_ConLD,0.0002554988896008581,0.0,0.001683145305072706,0.04950774824331399,0.0,0.007317785571438945
Fence_MnWw,0.00019595963531173765,0.0,0.0017488442678872407,0.0495775351206377,0.0,0.007268880077638561
ExterCond_Po,0.0,0.0,0.0,0.05107214365537014,0.0,0.007264799490164043
Condition2_Norm,0.00021033685625297948,0.0,0.003404789842436519,0.0487070119787171,0.0,0.007178867737116405
RoofStyle_Gambrel,0.0,0.0,0.009581716672851046,0.04942555533332915,0.0,0.007142967446759204
LowQualFinSF,9.255559998564423e-05,0.4,0.016517125867670318,0.03795144098430092,3.0064055649743432e-05,0.007036849460076053
GarageQual_Gd,2.3895739286672323e-05,0.0,0.0045366419292094135,0.048313127303019905,0.0,0.006949474561556161
MasVnrType_BrkCmn,0.00047151477774605156,0.0,0.009400306879335536,0.0435734469784834,0.0,0.0067804211927513765
LandContour_Lvl,0.0012178900418803097,1.0,0.07285152260310507,0.01,0.0,0.006746079404198684
Functional_Mod,0.0003819085657596588,0.0,0.01722747423702465,0.04218701358683868,0.0,0.006585313055317364
Condition2_PosA,0.0,0.0,6.126464967649338e-05,0.04376902614461414,0.0,0.0062266800752677695
BsmtFinType2_ALQ,0.00022395109990611673,0.0,0.0012127287464010989,0.04113857960124779,0.0,0.006090206933348926
SaleType_Con,0.0,0.0,0.0,0.04265778499073009,0.0,0.006067892053706618
HeatingQC_Po,0.0,0.0,0.0,0.04263946699079642,0.0,0.006065286394592777
LotShape_IR3,0.00015933660906739533,0.0,0.0,0.04065522471741216,0.0,0.005942543404408945
SaleType_Oth,1.5465691103599965e-05,0.0,0.0,0.03962751470030258,0.0,0.005652330988742223
LandContour_Low,0.0001759932143613696,0.0,0.0014837498545103001,0.038258014674538675,0.0,0.00563562828113877
LotConfig_FR2,0.0007229030423332005,1.0,0.009767427175339669,0.01,0.0,0.005510620624810954
SaleType_ConLw,2.352762676309794e-05,0.0,0.0,0.03733366249349278,0.0,0.005334110643543367
Functional_Sev,0.0022965832613408566,0.0,0.007417731198990451,0.01681343383162985,0.0,0.004777688833311422
GarageType_Basment,9.247041307389737e-05,0.0,0.008823369301185399,0.030933697085434534,0.0,0.004596252128836057
HouseStyle_2.5Fin,0.0,0.0,0.00223544923697602,0.03168373255722876,0.0,0.004533099444412858
BsmtFinType2_Rec,0.00028064442885806785,0.0,0.0,0.029136754822886458,0.0,0.004425526783876083
LandSlope_Sev,0.00028937472961843014,0.0,0.015728754767884635,0.025292915592804662,0.0,0.004071985992461752
MiscVal,0.0004901331558357924,0.2,0.00455065048689385,0.020012174115196523,6.790566535424677e-06,0.004052424550249445
BldgType_TwnhsE,0.0002456737922329921,0.0,0.0,0.02583286757253614,0.0,0.003920554520735237
GarageCond_Ex,0.0,0.0,0.0,0.027489548991007147,0.0,0.00391027372656032
RoofStyle_Shed,8.20126326289028e-05,0.0,0.00018937266203611429,0.02667597868271046,0.0,0.0038788684177837986
HouseStyle_2.5Unf,0.0001901786250527948,0.0,0.001448471718107421,0.025149639169110737,0.0,0.0037848033255960477
MiscFeature_TenC,0.0,0.0,0.0004813852453060501,0.026567210946251304,0.0,0.0037847213702093224
Heating_GasW,0.0,0.0,0.002759694937967715,0.026111696023580842,0.0,0.0037466495945217716
Heating_OthW,0.0,0.0,0.0007514878884488325,0.026193972711170157,0.0,0.0037347979433060047
SaleCondition_Alloca,0.00011120993876829743,0.0,0.0,0.024975784966845816,0.0,0.0036640302789161133
PoolQC_Gd,6.598548643523827e-05,0.0,0.0034668666589686334,0.02438587955271553,0.0,0.0035755102662468514
SaleType_CWD,0.00026564583531580866,0.0,0.002200108124458446,0.022883994319533463,0.0,0.0035468890828879852
Fence_GdPrv,0.0010783022444229573,0.0,0.0,0.017013358485623617,0.0,0.0034995360167629423
RoofMatl_Membran,0.0,0.0,0.0,0.02429923701577594,0.0,0.003456465150058815
LotConfig_FR3,0.00013646916777361185,0.0,0.0002161587410437881,0.022534760726520525,0.0,0.003344626454345094
Condition1_RRNn,7.14246416464448e-05,0.0,0.0,0.022767670290362363,0.0,0.003310107280368652
PoolQC_Fa,0.0,0.0,0.0,0.022606496349034153,0.0,0.0032156798480807445
BsmtFinType2_LwQ,9.958496957551688e-05,0.0,0.0,0.020858443351188128,0.0,0.0030667181860493348
BsmtHalfBath,0.00045714025181951,0.2,0.03557952739646175,0.01,0.0,0.0029474000734305123
GarageQual_Ex,0.0,0.0,0.0019784484405241153,0.017209576800928612,0.0,0.0024711966595827185
Condition1_RRAn,0.0,0.0,0.0,0.01677765059612299,0.0,0.002386550843045505
Foundation_Stone,0.0,0.0,0.0,0.01461595526677419,0.0,0.002079058695613548
RoofMatl_Roll,4.648190806619823e-05,0.0,0.0,0.012868522950121213,0.0,0.0018770254075522737
Condition2_RRAn,1.6387217328883708e-05,0.0,4.069124966455779e-05,0.0129140030711176,0.0,0.0018538451400964926
FireplaceQu_Fa,0.0003387253440450877,0.0,0.003989738803043326,0.01,0.0,0.0018083437466634743
Utilities_AllPub,0.0,0.0,0.0,0.012629672484853905,0.0,0.0017965182516723659
Utilities_NoSeWa,0.0,0.0,0.0,0.012629672484853905,0.0,0.0017965182516723659
Foundation_Wood,0.0002654823358170688,0.0,0.008427257783228344,0.01,0.0,0.0017870719853149944
Condition1_RRNe,0.0,0.0,0.0,0.012476948225562291,0.0,0.001774793862570466
Alley_Pave,0.00011963273282162845,0.0,0.0,0.011577672621934825,0.0,0.001766636472918683
RoofMatl_Tar&Grv,5.400096997618675e-05,0.0,0.01870843918499449,0.01,0.0,0.0016959568182847342
SaleType_ConLI,0.0001211194321513176,0.0,0.00039290286244926564,0.01,0.0,0.001548315946603821
GarageCond_Gd,4.8448340385220946e-05,0.0,0.0,0.01,0.0,0.0014709585158206343
RoofStyle_Mansard,0.0,0.0,0.0015721898871467565,0.01,0.0,0.001440899229957194
RoofMatl_Metal,0.0,0.0,5.904836238240916e-05,0.01,0.0,0.001423150909992436
Condition2_RRAe,0.0,0.0,0.0,0.01,0.0,0.0014224583050960625
BsmtFinType2_GLQ,0.0,0.0,0.0,0.01,0.0,0.0014224583050960625
MiscFeature_Gar2,0.0,0.0,0.0,0.01,0.0,0.0014224583050960625
